Date,Close/Last,Volume,Open,High,Low
12/12/2024,$191.46,7944938,$194.63,$195.42,$191.29
12/11/2024,$194.60,9027611,$194.67,$196.00,$193.26
12/10/2024,$191.94,15307910,$199.10,$199.91,$190.37
12/09/2024,$199.17,9699663,$200.93,$203.125,$198.98
12/06/2024,$203.02,9672870,$202.00,$203.19,$199.93
12/05/2024,$204.30,12483720,$201.25,$205.63,$200.75
12/04/2024,$200.69,12761060,$199.85,$202.60,$198.27
12/03/2024,$198.89,11217660,$193.50,$199.00,$192.60
12/02/2024,$194.40,16646880,$189.34,$195.29,$188.94
11/29/2024,$184.66,8045290,$181.51,$186.95,$181.18
11/27/2024,$181.19,9895248,$182.00,$182.45,$178.05
11/26/2024,$183.84,10186570,$185.40,$185.90,$182.33
11/25/2024,$185.08,14380030,$188.09,$188.25,$183.71
11/22/2024,$190.08,8838925,$192.95,$193.00,$189.43
11/21/2024,$191.24,18137330,$189.41,$192.30,$186.74
11/20/2024,$188.36,10624500,$188.85,$188.85,$184.06
11/19/2024,$189.67,9390115,$189.13,$190.02,$188.02
11/18/2024,$187.48,10694010,$184.35,$188.00,$183.49
11/15/2024,$186.01,9834757,$188.18,$188.80,$184.81
11/14/2024,$188.50,11453910,$188.40,$192.66,$187.535
11/13/2024,$186.66,13882150,$192.443,$192.48,$186.50
11/12/2024,$191.77,11818990,$193.83,$194.00,$189.72
11/11/2024,$194.05,16610010,$197.96,$198.20,$191.49
11/08/2024,$201.20,13112090,$203.89,$206.61,$200.02
11/07/2024,$201.19,14865160,$196.31,$202.01,$196.25
11/06/2024,$193.22,19834870,$192.04,$194.26,$188.50
11/05/2024,$195.76,10339210,$193.58,$198.34,$193.49
11/04/2024,$191.56,10917290,$193.70,$194.36,$190.60
11/01/2024,$192.95,12691190,$194.20,$198.17,$192.55
10/31/2024,$190.54,13062660,$192.86,$192.86,$187.66
10/30/2024,$194.48,10007770,$194.38,$195.45,$192.61
10/29/2024,$196.94,13779110,$194.39,$198.79,$193.60
10/28/2024,$194.68,20135350,$199.26,$199.74,$194.5201
10/25/2024,$203.44,13434860,$200.25,$205.20,$200.00
10/24/2024,$197.93,9935780,$198.96,$200.50,$197.41
10/23/2024,$200.86,16535700,$196.68,$203.13,$196.23
10/22/2024,$198.48,11165070,$199.07,$200.17,$197.11
10/21/2024,$201.95,14819950,$200.81,$203.44,$199.66
10/18/2024,$200.78,21030820,$205.95,$205.95,$200.76
10/17/2024,$205.84,62274670,$203.35,$212.60,$201.97
10/16/2024,$187.48,18689220,$189.78,$190.01,$186.66
10/15/2024,$187.13,21812670,$192.96,$193.62,$184.25
10/14/2024,$192.21,11714390,$190.61,$194.25,$190.5029
10/11/2024,$190.81,12163860,$188.17,$191.4899,$188.01
10/10/2024,$185.78,6443849,$185.86,$187.08,$184.40
10/09/2024,$187.14,11925010,$187.80,$188.00,$182.26
10/08/2024,$186.05,10394170,$184.96,$186.54,$182.03
10/07/2024,$184.51,12054160,$181.60,$185.00,$180.93
10/04/2024,$181.16,10001900,$179.70,$181.23,$177.55
10/03/2024,$179.48,12555030,$175.80,$180.79,$175.1218
10/02/2024,$175.80,11164370,$172.96,$176.9739,$170.7899
10/01/2024,$172.07,11850170,$175.31,$175.99,$170.78
09/30/2024,$173.67,13561650,$174.27,$176.82,$171.93
09/27/2024,$177.97,17908400,$185.84,$185.94,$177.40
09/26/2024,$186.83,15103400,$188.495,$189.33,$183.80
09/25/2024,$182.35,8280927,$181.52,$183.82,$181.21
09/24/2024,$181.97,14576110,$179.50,$182.78,$177.05
09/23/2024,$174.76,5794249,$174.84,$175.40,$173.70
09/20/2024,$174.08,18429780,$174.87,$176.02,$173.6501
09/19/2024,$176.22,15855050,$174.38,$177.78,$172.63
09/18/2024,$167.28,9115969,$168.46,$171.60,$167.00
09/17/2024,$167.35,8582819,$169.35,$170.2402,$166.355
09/16/2024,$169.08,12194260,$169.91,$170.56,$166.77
09/13/2024,$172.50,8787842,$172.24,$174.765,$171.45
09/12/2024,$171.43,13415500,$170.60,$172.15,$169.00
09/11/2024,$170.23,15059550,$163.80,$170.38,$161.42
09/10/2024,$162.43,11910830,$162.89,$162.89,$157.6931
09/09/2024,$162.78,10339020,$160.76,$163.10,$160.25
09/06/2024,$156.82,14964410,$164.89,$165.4053,$156.01
09/05/2024,$163.70,10260580,$161.54,$164.59,$161.05
09/04/2024,$160.87,11317390,$159.30,$163.88,$158.95
09/03/2024,$160.49,18464360,$168.00,$168.679,$159.80
08/30/2024,$171.70,9481403,$170.055,$172.23,$168.75
