Date,Close/Last,Volume,Open,High,Low
11/18/2024,$4.46,4723401,$4.43,$4.47,$4.43
11/15/2024,$4.46,18293360,$4.48,$4.52,$4.45
11/14/2024,$4.49,13241430,$4.47,$4.53,$4.46
11/13/2024,$4.46,17013440,$4.47,$4.47,$4.42
11/12/2024,$4.50,17059880,$4.52,$4.53,$4.45
11/11/2024,$4.56,13805840,$4.57,$4.60,$4.54
11/08/2024,$4.55,18213400,$4.54,$4.56,$4.51
11/07/2024,$4.60,17398470,$4.59,$4.65,$4.56
11/06/2024,$4.58,15999130,$4.60,$4.62,$4.58
11/05/2024,$4.71,11971250,$4.67,$4.73,$4.67
11/04/2024,$4.67,13223110,$4.74,$4.76,$4.65
11/01/2024,$4.73,11303700,$4.75,$4.77,$4.73
10/31/2024,$4.71,19945230,$4.73,$4.75,$4.68
10/30/2024,$4.78,17105730,$4.82,$4.84,$4.77
10/29/2024,$4.85,21278440,$4.925,$4.94,$4.85
10/28/2024,$4.95,34528150,$4.83,$4.95,$4.83
10/25/2024,$4.77,22097520,$4.80,$4.82,$4.76
10/24/2024,$4.80,21665370,$4.75,$4.80,$4.744
10/23/2024,$4.68,19999350,$4.68,$4.72,$4.66
10/22/2024,$4.71,27889790,$4.73,$4.77,$4.6813
10/21/2024,$4.79,27704460,$4.75,$4.82,$4.75
10/18/2024,$4.75,51422770,$4.49,$4.78,$4.49
10/17/2024,$4.34,41757800,$4.215,$4.36,$4.14
10/16/2024,$4.46,39451750,$4.47,$4.49,$4.385
10/15/2024,$4.41,24261630,$4.43,$4.45,$4.38
10/14/2024,$4.40,13045930,$4.37,$4.40,$4.36
10/11/2024,$4.36,7260021,$4.39,$4.40,$4.34
10/10/2024,$4.41,7057782,$4.46,$4.46,$4.39
10/09/2024,$4.47,13201520,$4.41,$4.47,$4.41
10/08/2024,$4.40,14104860,$4.36,$4.40,$4.35
10/07/2024,$4.33,11872680,$4.39,$4.395,$4.33
10/04/2024,$4.35,10082030,$4.37,$4.387,$4.34
10/03/2024,$4.35,12411850,$4.365,$4.38,$4.33
10/02/2024,$4.39,17047720,$4.33,$4.41,$4.33
10/01/2024,$4.35,19137970,$4.40,$4.41,$4.34
09/30/2024,$4.37,13369620,$4.41,$4.42,$4.35
09/27/2024,$4.37,20772530,$4.38,$4.42,$4.36
09/26/2024,$4.36,26128800,$4.40,$4.4355,$4.35
09/25/2024,$4.36,25786680,$4.41,$4.43,$4.34
09/24/2024,$4.40,22849330,$4.33,$4.41,$4.33
09/23/2024,$4.31,18013040,$4.29,$4.33,$4.28
09/20/2024,$4.28,25461200,$4.23,$4.29,$4.22
09/19/2024,$4.25,30074570,$4.25,$4.27,$4.205
09/18/2024,$4.19,31297490,$4.19,$4.27,$4.18
09/17/2024,$4.19,21045220,$4.24,$4.25,$4.17
09/16/2024,$4.21,27475410,$4.24,$4.28,$4.19
09/13/2024,$4.20,11549020,$4.20,$4.235,$4.19
09/12/2024,$4.20,31431280,$4.165,$4.25,$4.145
09/11/2024,$4.19,29109330,$4.19,$4.20,$4.1201
09/10/2024,$4.19,23479310,$4.225,$4.24,$4.17
09/09/2024,$4.26,13029100,$4.26,$4.28,$4.25
09/06/2024,$4.24,20795090,$4.31,$4.325,$4.225
09/05/2024,$4.33,15344560,$4.40,$4.40,$4.33
09/04/2024,$4.38,18957730,$4.36,$4.42,$4.35
09/03/2024,$4.38,30014890,$4.41,$4.43,$4.36
08/30/2024,$4.46,28292030,$4.39,$4.47,$4.385
08/29/2024,$4.48,50252970,$4.51,$4.52,$4.36
08/28/2024,$4.19,7710774,$4.20,$4.22,$4.17
08/27/2024,$4.22,9442062,$4.21,$4.225,$4.175
08/26/2024,$4.18,5986874,$4.17,$4.19,$4.16
08/23/2024,$4.17,8747392,$4.15,$4.20,$4.15
08/22/2024,$4.11,6112611,$4.14,$4.16,$4.11
08/21/2024,$4.16,8107333,$4.13,$4.16,$4.11
08/20/2024,$4.15,11145850,$4.15,$4.18,$4.13
08/19/2024,$4.16,16540620,$4.10,$4.17,$4.10
08/16/2024,$4.04,11484270,$4.06,$4.07,$4.03
08/15/2024,$4.07,13702200,$4.03,$4.10,$4.02
08/14/2024,$3.98,9676248,$3.92,$3.98,$3.92
08/13/2024,$3.94,13572050,$3.83,$3.95,$3.83
08/12/2024,$3.83,8356130,$3.81,$3.84,$3.80
08/09/2024,$3.81,7555008,$3.79,$3.82,$3.77
08/08/2024,$3.79,10070540,$3.76,$3.82,$3.76
08/07/2024,$3.73,13804220,$3.79,$3.83,$3.72
08/06/2024,$3.71,12431300,$3.72,$3.74,$3.70
08/05/2024,$3.73,15049930,$3.74,$3.77,$3.72
08/02/2024,$3.85,19100010,$3.89,$3.91,$3.83
08/01/2024,$3.95,21217340,$4.00,$4.0152,$3.93
07/31/2024,$3.92,10419890,$3.89,$3.94,$3.89
07/30/2024,$3.92,14010430,$3.90,$3.93,$3.90
07/29/2024,$3.84,12530440,$3.82,$3.85,$3.79
07/26/2024,$3.84,9576295,$3.83,$3.85,$3.785
07/25/2024,$3.83,14351540,$3.75,$3.86,$3.73
07/24/2024,$3.67,9928215,$3.67,$3.70,$3.66
07/23/2024,$3.71,8792595,$3.70,$3.73,$3.69
07/22/2024,$3.74,15281420,$3.78,$3.79,$3.74
07/19/2024,$3.65,11352880,$3.63,$3.67,$3.61
07/18/2024,$3.62,37723740,$3.73,$3.73,$3.60
07/17/2024,$3.90,18551160,$3.88,$3.94,$3.85
07/16/2024,$3.88,16791110,$3.84,$3.89,$3.825
