,date,price
286,2016-02-25,6970.6
287,2016-02-26,7029.75
288,2016-02-29,6987.05
289,2016-03-01,7222.3
290,2016-03-02,7368.85
291,2016-03-03,7475.6
292,2016-03-04,7485.35
293,2016-03-08,7485.3
294,2016-03-09,7531.8
295,2016-03-10,7486.15
296,2016-03-11,7510.2
297,2016-03-14,7538.75
298,2016-03-15,7460.6
299,2016-03-16,7498.75
300,2016-03-17,7512.55
301,2016-03-18,7604.35
302,2016-03-21,7704.25
303,2016-03-22,7714.9
304,2016-03-23,7716.5
305,2016-03-28,7615.1
306,2016-03-29,7597.0
307,2016-03-30,7735.2
308,2016-03-31,7738.4
309,2016-04-01,7713.05
310,2016-04-04,7758.8
311,2016-04-05,7603.2
312,2016-04-06,7614.35
313,2016-04-07,7546.45
314,2016-04-08,7555.2
315,2016-04-11,7671.4
316,2016-04-12,7708.95
317,2016-04-13,7850.45
318,2016-04-18,7914.7
319,2016-04-20,7914.75
320,2016-04-21,7912.05
321,2016-04-22,7899.3
322,2016-04-25,7855.05
323,2016-04-26,7962.65
324,2016-04-27,7979.9
325,2016-04-28,7847.25
326,2016-04-29,7849.8
327,2016-05-02,7805.9
328,2016-05-03,7747.0
329,2016-05-04,7706.55
330,2016-05-05,7735.5
331,2016-05-06,7733.45
332,2016-05-09,7866.05
333,2016-05-10,7887.8
334,2016-05-11,7848.85
335,2016-05-12,7900.4
336,2016-05-13,7814.9
337,2016-05-16,7860.75
338,2016-05-17,7890.75
339,2016-05-18,7870.15
340,2016-05-19,7783.4
341,2016-05-20,7749.7
342,2016-05-23,7731.05
343,2016-05-24,7748.85
344,2016-05-25,7934.9
345,2016-05-26,8069.65
346,2016-05-27,8156.65
347,2016-05-30,8178.5
348,2016-05-31,8160.1
349,2016-06-01,8179.95
350,2016-06-02,8218.95
351,2016-06-03,8220.8
352,2016-06-06,8201.05
353,2016-06-07,8266.45
354,2016-06-08,8273.05
355,2016-06-09,8203.6
356,2016-06-10,8170.05
357,2016-06-13,8110.6
358,2016-06-14,8108.85
359,2016-06-15,8206.6
360,2016-06-16,8140.75
361,2016-06-17,8170.2
362,2016-06-20,8238.5
363,2016-06-21,8219.9
364,2016-06-22,8203.7
365,2016-06-23,8270.45
366,2016-06-24,8088.6
367,2016-06-27,8094.7
368,2016-06-28,8127.85
369,2016-06-29,8204.0
370,2016-06-30,8287.75
371,2016-07-01,8328.35
372,2016-07-04,8370.7
373,2016-07-05,8335.95
374,2016-07-07,8337.9
375,2016-07-08,8323.2
376,2016-07-11,8467.9
377,2016-07-12,8521.05
378,2016-07-13,8519.5
379,2016-07-14,8565.0
380,2016-07-15,8541.4
381,2016-07-18,8508.7
382,2016-07-19,8528.55
383,2016-07-20,8565.85
384,2016-07-21,8510.1
